Year,Sex,Age_Group,Education_Level,State,Number_Individuals
2019,Female,45-64,"Some college, no degree",Alabama,140610
2019,Female,45-64,Associate's degree,Alabama,71716
2019,Female,45-64,Bachelor's degree,Alabama,110189
2019,Female,45-64,Graduate or professional degree,Alabama,72791
2019,Female,65 and older,Less than 9th grade,Alabama,24658
2019,Female,65 and older,"9th to 12th grade, no diploma",Alabama,54891
2019,Female,65 and older,High school graduate (includes equivalency),Alabama,177764
2019,Female,65 and older,"Some college, no degree",Alabama,96885
2019,Female,65 and older,Associate's degree,Alabama,32614
2019,Female,65 and older,Bachelor's degree,Alabama,52999
2019,Female,65 and older,Graduate or professional degree,Alabama,41458
2021,Male,18-24,Less than 9th grade,Alabama,3265
2021,Male,18-24,"9th to 12th grade, no diploma",Alabama,32020
2021,Male,18-24,High school graduate (includes equivalency),Alabama,92663
2021,Male,18-24,"Some college, no degree",Alabama,77132
2021,Male,18-24,Associate's degree,Alabama,9740
2021,Male,18-24,Bachelor's degree,Alabama,15976
2021,Male,18-24,Graduate or professional degree,Alabama,1526
2021,Male,25-34,Less than 9th grade,Alabama,10084
2021,Male,25-34,"9th to 12th grade, no diploma",Alabama,24268
2021,Male,25-34,High school graduate (includes equivalency),Alabama,107510
2021,Male,25-34,"Some college, no degree",Alabama,69746
2021,Male,25-34,Associate's degree,Alabama,21237
2021,Male,25-34,Bachelor's degree,Alabama,54680
2021,Male,25-34,Graduate or professional degree,Alabama,24276
2021,Male,35-44,Less than 9th grade,Alabama,11477
2021,Male,35-44,"9th to 12th grade, no diploma",Alabama,33477
2021,Male,35-44,High school graduate (includes equivalency),Alabama,94219
2021,Male,35-44,"Some college, no degree",Alabama,62164
2021,Male,35-44,Associate's degree,Alabama,27575
2021,Male,35-44,Bachelor's degree,Alabama,51342
2021,Male,35-44,Graduate or professional degree,Alabama,34397
2021,Male,45-64,Less than 9th grade,Alabama,25653
2021,Male,45-64,"9th to 12th grade, no diploma",Alabama,61648
2021,Male,45-64,High school graduate (includes equivalency),Alabama,208482
2021,Male,45-64,"Some college, no degree",Alabama,125213
2021,Male,45-64,Associate's degree,Alabama,47472
2021,Male,45-64,Bachelor's degree,Alabama,95813
2021,Male,45-64,Graduate or professional degree,Alabama,63105
2021,Male,65 and older,Less than 9th grade,Alabama,21412
2021,Male,65 and older,"9th to 12th grade, no diploma",Alabama,35066
2021,Male,65 and older,High school graduate (includes equivalency),Alabama,124198
2021,Male,65 and older,"Some college, no degree",Alabama,71619
2021,Male,65 and older,Associate's degree,Alabama,26367
2021,Male,65 and older,Bachelor's degree,Alabama,61273
2021,Male,65 and older,Graduate or professional degree,Alabama,49298
2021,Female,18-24,Less than 9th grade,Alabama,3202
2021,Female,18-24,"9th to 12th grade, no diploma",Alabama,24495
2021,Female,18-24,High school graduate (includes equivalency),Alabama,77360
2021,Female,18-24,"Some college, no degree",Alabama,92602
2021,Female,18-24,Associate's degree,Alabama,13605
2021,Female,18-24,Bachelor's degree,Alabama,23259
2021,Female,18-24,Graduate or professional degree,Alabama,1882
2021,Female,25-34,Less than 9th grade,Alabama,5789
2021,Female,25-34,"9th to 12th grade, no diploma",Alabama,19090
2021,Female,25-34,High school graduate (includes equivalency),Alabama,82146
2021,Female,25-34,"Some college, no degree",Alabama,75318
2021,Female,25-34,Associate's degree,Alabama,33314
2021,Female,25-34,Bachelor's degree,Alabama,72595
2021,Female,25-34,Graduate or professional degree,Alabama,33530
2021,Female,35-44,Less than 9th grade,Alabama,9374
2021,Female,35-44,"9th to 12th grade, no diploma",Alabama,19539
2021,Female,35-44,High school graduate (includes equivalency),Alabama,82483
2021,Female,35-44,"Some college, no degree",Alabama,62150
2021,Female,35-44,Associate's degree,Alabama,36590
2021,Female,35-44,Bachelor's degree,Alabama,65113
2021,Female,35-44,Graduate or professional degree,Alabama,47740
2021,Female,45-64,Less than 9th grade,Alabama,21063
2021,Female,45-64,"9th to 12th grade, no diploma",Alabama,49902
2021,Female,45-64,High school graduate (includes equivalency),Alabama,187480
2021,Female,45-64,"Some college, no degree",Alabama,144674
2021,Female,45-64,Associate's degree,Alabama,74741
2021,Female,45-64,Bachelor's degree,Alabama,115068
2021,Female,45-64,Graduate or professional degree,Alabama,73862
2021,Female,65 and older,Less than 9th grade,Alabama,22200
2021,Female,65 and older,"9th to 12th grade, no diploma",Alabama,46425
2021,Female,65 and older,High school graduate (includes equivalency),Alabama,192767
2021,Female,65 and older,"Some college, no degree",Alabama,94778
2021,Female,65 and older,Associate's degree,Alabama,35732
2021,Female,65 and older,Bachelor's degree,Alabama,56392
2021,Female,65 and older,Graduate or professional degree,Alabama,48282
2022,Male,18-24,Less than 9th grade,Alabama,3549
2022,Male,18-24,"9th to 12th grade, no diploma",Alabama,31064
2022,Male,18-24,High school graduate (includes equivalency),Alabama,98665
2022,Male,18-24,"Some college, no degree",Alabama,79493
2022,Male,18-24,Associate's degree,Alabama,14373
2022,Male,18-24,Bachelor's degree,Alabama,16746
2022,Male,18-24,Graduate or professional degree,Alabama,1153
2022,Male,25-34,Less than 9th grade,Alabama,5710
2022,Male,25-34,"9th to 12th grade, no diploma",Alabama,23245
2022,Male,25-34,High school graduate (includes equivalency),Alabama,112750
2022,Male,25-34,"Some college, no degree",Alabama,73834
2022,Male,25-34,Associate's degree,Alabama,24075
2022,Male,25-34,Bachelor's degree,Alabama,60749
2022,Male,25-34,Graduate or professional degree,Alabama,22059
2022,Male,35-44,Less than 9th grade,Alabama,10536
2022,Male,35-44,"9th to 12th grade, no diploma",Alabama,30348
2022,Male,35-44,High school graduate (includes equivalency),Alabama,96688
2022,Male,35-44,"Some college, no degree",Alabama,58656
2022,Male,35-44,Associate's degree,Alabama,23676
2022,Male,35-44,Bachelor's degree,Alabama,54952
2022,Male,35-44,Graduate or professional degree,Alabama,33292
2022,Male,45-64,Less than 9th grade,Alabama,27095
2022,Male,45-64,"9th to 12th grade, no diploma",Alabama,58512
2022,Male,45-64,High school graduate (includes equivalency),Alabama,196999
2022,Male,45-64,"Some college, no degree",Alabama,118501
2022,Male,45-64,Associate's degree,Alabama,49375
2022,Male,45-64,Bachelor's degree,Alabama,99853
2022,Male,45-64,Graduate or professional degree,Alabama,68027
2022,Male,65 and older,Less than 9th grade,Alabama,19622
2022,Male,65 and older,"9th to 12th grade, no diploma",Alabama,34753
2022,Male,65 and older,High school graduate (includes equivalency),Alabama,121355
2022,Male,65 and older,"Some college, no degree",Alabama,81123
2022,Male,65 and older,Associate's degree,Alabama,25538
2022,Male,65 and older,Bachelor's degree,Alabama,69602
2022,Male,65 and older,Graduate or professional degree,Alabama,47932
2022,Female,18-24,Less than 9th grade,Alabama,2704
2022,Female,18-24,"9th to 12th grade, no diploma",Alabama,20772
2022,Female,18-24,High school graduate (includes equivalency),Alabama,77955
2022,Female,18-24,"Some college, no degree",Alabama,99606
2022,Female,18-24,Associate's degree,Alabama,15522
2022,Female,18-24,Bachelor's degree,Alabama,24451
2022,Female,18-24,Graduate or professional degree,Alabama,2291
2022,Female,25-34,Less than 9th grade,Alabama,6639
2022,Female,25-34,"9th to 12th grade, no diploma",Alabama,16582
2022,Female,25-34,High school graduate (includes equivalency),Alabama,85642
2022,Female,25-34,"Some college, no degree",Alabama,71827
2022,Female,25-34,Associate's degree,Alabama,35236
2022,Female,25-34,Bachelor's degree,Alabama,71720
2022,Female,25-34,Graduate or professional degree,Alabama,42084
2022,Female,35-44,Less than 9th grade,Alabama,8538
2022,Female,35-44,"9th to 12th grade, no diploma",Alabama,20055
2022,Female,35-44,High school graduate (includes equivalency),Alabama,80474
2022,Female,35-44,"Some college, no degree",Alabama,66861
2022,Female,35-44,Associate's degree,Alabama,34296
2022,Female,35-44,Bachelor's degree,Alabama,66957
2022,Female,35-44,Graduate or professional degree,Alabama,47087
2022,Female,45-64,Less than 9th grade,Alabama,17830
2022,Female,45-64,"9th to 12th grade, no diploma",Alabama,41340
2022,Female,45-64,High school graduate (includes equivalency),Alabama,180715
2022,Female,45-64,"Some college, no degree",Alabama,143024
2022,Female,45-64,Associate's degree,Alabama,78685
2022,Female,45-64,Bachelor's degree,Alabama,117851
2022,Female,45-64,Graduate or professional degree,Alabama,79536
2022,Female,65 and older,Less than 9th grade,Alabama,22064
2022,Female,65 and older,"9th to 12th grade, no diploma",Alabama,46428
2022,Female,65 and older,High school graduate (includes equivalency),Alabama,182532
2022,Female,65 and older,"Some college, no degree",Alabama,102318
2022,Female,65 and older,Associate's degree,Alabama,40656
2022,Female,65 and older,Bachelor's degree,Alabama,67632
2022,Female,65 and older,Graduate or professional degree,Alabama,51458
2023,Male,18-24,Less than 9th grade,Alabama,3312
2023,Male,18-24,"9th to 12th grade, no diploma",Alabama,27551
2023,Male,18-24,High school graduate (includes equivalency),Alabama,102265
2023,Male,18-24,"Some college, no degree",Alabama,73626
2023,Male,18-24,Associate's degree,Alabama,10337
2023,Male,18-24,Bachelor's degree,Alabama,21267
2023,Male,18-24,Graduate or professional degree,Alabama,2558
2023,Male,25-34,Less than 9th grade,Alabama,6753
2023,Male,25-34,"9th to 12th grade, no diploma",Alabama,19583
2023,Male,25-34,High school graduate (includes equivalency),Alabama,105205
2023,Male,25-34,"Some college, no degree",Alabama,67364
2023,Male,25-34,Associate's degree,Alabama,27457
2023,Male,25-34,Bachelor's degree,Alabama,61899
2023,Male,25-34,Graduate or professional degree,Alabama,25426
2023,Male,35-44,Less than 9th grade,Alabama,13942
2023,Male,35-44,"9th to 12th grade, no diploma",Alabama,27000
2023,Male,35-44,High school graduate (includes equivalency),Alabama,93620
2023,Male,35-44,"Some college, no degree",Alabama,65526
2023,Male,35-44,Associate's degree,Alabama,26579
2023,Male,35-44,Bachelor's degree,Alabama,54602
2023,Male,35-44,Graduate or professional degree,Alabama,37077
2023,Male,45-64,Less than 9th grade,Alabama,25753
2023,Male,45-64,"9th to 12th grade, no diploma",Alabama,58859
2023,Male,45-64,High school graduate (includes equivalency),Alabama,203842
2023,Male,45-64,"Some college, no degree",Alabama,118066
2023,Male,45-64,Associate's degree,Alabama,48709
2023,Male,45-64,Bachelor's degree,Alabama,99150
2023,Male,45-64,Graduate or professional degree,Alabama,60377
2023,Male,65 and older,Less than 9th grade,Alabama,20651
2023,Male,65 and older,"9th to 12th grade, no diploma",Alabama,31434
2023,Male,65 and older,High school graduate (includes equivalency),Alabama,126664
2023,Male,65 and older,"Some college, no degree",Alabama,83268
2023,Male,65 and older,Associate's degree,Alabama,28046
2023,Male,65 and older,Bachelor's degree,Alabama,72073
2023,Male,65 and older,Graduate or professional degree,Alabama,50554
2023,Female,18-24,Less than 9th grade,Alabama,3518
2023,Female,18-24,"9th to 12th grade, no diploma",Alabama,17415
2023,Female,18-24,High school graduate (includes equivalency),Alabama,79763
2023,Female,18-24,"Some college, no degree",Alabama,98073
2023,Female,18-24,Associate's degree,Alabama,12349
2023,Female,18-24,Bachelor's degree,Alabama,25316
2023,Female,18-24,Graduate or professional degree,Alabama,2505
2023,Female,25-34,Less than 9th grade,Alabama,5181
2023,Female,25-34,"9th to 12th grade, no diploma",Alabama,15383
2023,Female,25-34,High school graduate (includes equivalency),Alabama,79156
2023,Female,25-34,"Some college, no degree",Alabama,78685
2023,Female,25-34,Associate's degree,Alabama,37824
2023,Female,25-34,Bachelor's degree,Alabama,73038
2023,Female,25-34,Graduate or professional degree,Alabama,41563
2023,Female,35-44,Less than 9th grade,Alabama,8012
2023,Female,35-44,"9th to 12th grade, no diploma",Alabama,18884
2023,Female,35-44,High school graduate (includes equivalency),Alabama,76706
2023,Female,35-44,"Some college, no degree",Alabama,69978
2023,Female,35-44,Associate's degree,Alabama,37752
2023,Female,35-44,Bachelor's degree,Alabama,71727
2023,Female,35-44,Graduate or professional degree,Alabama,47847
2023,Female,45-64,Less than 9th grade,Alabama,19206
2023,Female,45-64,"9th to 12th grade, no diploma",Alabama,46063
2023,Female,45-64,High school graduate (includes equivalency),Alabama,181270
2023,Female,45-64,"Some college, no degree",Alabama,138761
2023,Female,45-64,Associate's degree,Alabama,73637
2023,Female,45-64,Bachelor's degree,Alabama,119947
2023,Female,45-64,Graduate or professional degree,Alabama,79439
2023,Female,65 and older,Less than 9th grade,Alabama,22132
2023,Female,65 and older,"9th to 12th grade, no diploma",Alabama,41066
2023,Female,65 and older,High school graduate (includes equivalency),Alabama,186091
2023,Female,65 and older,"Some college, no degree",Alabama,112275
2023,Female,65 and older,Associate's degree,Alabama,41744
2023,Female,65 and older,Bachelor's degree,Alabama,63589
2023,Female,65 and older,Graduate or professional degree,Alabama,52532
2018,Male,18-24,Less than 9th grade,Alaska,358
2018,Male,18-24,"9th to 12th grade, no diploma",Alaska,4159
2018,Male,18-24,High school graduate (includes equivalency),Alaska,18021
2018,Male,18-24,"Some college, no degree",Alaska,12595
2018,Male,18-24,Associate's degree,Alaska,992
2018,Male,18-24,Bachelor's degree,Alaska,1873
2018,Male,18-24,Graduate or professional degree,Alaska,144
2018,Male,25-34,Less than 9th grade,Alaska,765
2018,Male,25-34,"9th to 12th grade, no diploma",Alaska,3091
2018,Male,25-34,High school graduate (includes equivalency),Alaska,22036
2018,Male,25-34,"Some college, no degree",Alaska,17025
2018,Male,25-34,Associate's degree,Alaska,5585
2018,Male,25-34,Bachelor's degree,Alaska,10745
2018,Male,25-34,Graduate or professional degree,Alaska,3324
2018,Male,35-44,Less than 9th grade,Alaska,979
2018,Male,35-44,"9th to 12th grade, no diploma",Alaska,2022
2018,Male,35-44,High school graduate (includes equivalency),Alaska,15126
2018,Male,35-44,"Some college, no degree",Alaska,14077
2018,Male,35-44,Associate's degree,Alaska,3231
2018,Male,35-44,Bachelor's degree,Alaska,7590
2018,Male,35-44,Graduate or professional degree,Alaska,6211
2018,Male,45-64,Less than 9th grade,Alaska,1759
2018,Male,45-64,"9th to 12th grade, no diploma",Alaska,4294
2018,Male,45-64,High school graduate (includes equivalency),Alaska,30132
2018,Male,45-64,"Some college, no degree",Alaska,24499
2018,Male,45-64,Associate's degree,Alaska,8120
2018,Male,45-64,Bachelor's degree,Alaska,15075
2018,Male,45-64,Graduate or professional degree,Alaska,11621
2018,Male,65 and older,Less than 9th grade,Alaska,3074
2018,Male,65 and older,"9th to 12th grade, no diploma",Alaska,1692
2018,Male,65 and older,High school graduate (includes equivalency),Alaska,10572
2018,Male,65 and older,"Some college, no degree",Alaska,11853
2018,Male,65 and older,Associate's degree,Alaska,2298
2018,Male,65 and older,Bachelor's degree,Alaska,8398
2018,Male,65 and older,Graduate or professional degree,Alaska,6430
2018,Female,18-24,Less than 9th grade,Alaska,95
2018,Female,18-24,"9th to 12th grade, no diploma",Alaska,3251
2018,Female,18-24,High school graduate (includes equivalency),Alaska,13334
2018,Female,18-24,"Some college, no degree",Alaska,10615
2018,Female,18-24,Associate's degree,Alaska,1345
2018,Female,18-24,Bachelor's degree,Alaska,1764
2018,Female,18-24,Graduate or professional degree,Alaska,79
2018,Female,25-34,Less than 9th grade,Alaska,725
2018,Female,25-34,"9th to 12th grade, no diploma",Alaska,2335
2018,Female,25-34,High school graduate (includes equivalency),Alaska,15625
2018,Female,25-34,"Some college, no degree",Alaska,14775
2018,Female,25-34,Associate's degree,Alaska,4002
2018,Female,25-34,Bachelor's degree,Alaska,13418
2018,Female,25-34,Graduate or professional degree,Alaska,4237
2018,Female,35-44,Less than 9th grade,Alaska,393
2018,Female,35-44,"9th to 12th grade, no diploma",Alaska,1395
2018,Female,35-44,High school graduate (includes equivalency),Alaska,10909
2018,Female,35-44,"Some college, no degree",Alaska,13720
2018,Female,35-44,Associate's degree,Alaska,4127
2018,Female,35-44,Bachelor's degree,Alaska,9922
2018,Female,35-44,Graduate or professional degree,Alaska,7318
2018,Female,45-64,Less than 9th grade,Alaska,2169
2018,Female,45-64,"9th to 12th grade, no diploma",Alaska,3018
2018,Female,45-64,High school graduate (includes equivalency),Alaska,21610
2018,Female,45-64,"Some college, no degree",Alaska,22781
2018,Female,45-64,Associate's degree,Alaska,9293
2018,Female,45-64,Bachelor's degree,Alaska,16974
2018,Female,45-64,Graduate or professional degree,Alaska,11300
2018,Female,65 and older,Less than 9th grade,Alaska,2159
2018,Female,65 and older,"9th to 12th grade, no diploma",Alaska,2574
2018,Female,65 and older,High school graduate (includes equivalency),Alaska,11283
2018,Female,65 and older,"Some college, no degree",Alaska,10520
2018,Female,65 and older,Associate's degree,Alaska,3282
2018,Female,65 and older,Bachelor's degree,Alaska,7513
2018,Female,65 and older,Graduate or professional degree,Alaska,6352
2019,Male,18-24,Less than 9th grade,Alaska,326
2019,Male,18-24,"9th to 12th grade, no diploma",Alaska,5320
2019,Male,18-24,High school graduate (includes equivalency),Alaska,15718
2019,Male,18-24,"Some college, no degree",Alaska,14292
2019,Male,18-24,Associate's degree,Alaska,2210
2019,Male,18-24,Bachelor's degree,Alaska,724
2019,Male,18-24,Graduate or professional degree,Alaska,0
2019,Male,25-34,Less than 9th grade,Alaska,754
2019,Male,25-34,"9th to 12th grade, no diploma",Alaska,3562
2019,Male,25-34,High school graduate (includes equivalency),Alaska,20902
2019,Male,25-34,"Some college, no degree",Alaska,18971
2019,Male,25-34,Associate's degree,Alaska,6004
2019,Male,25-34,Bachelor's degree,Alaska,8900
2019,Male,25-34,Graduate or professional degree,Alaska,3190
2019,Male,35-44,Less than 9th grade,Alaska,686
2019,Male,35-44,"9th to 12th grade, no diploma",Alaska,1800
2019,Male,35-44,High school graduate (includes equivalency),Alaska,12866
2019,Male,35-44,"Some college, no degree",Alaska,12164
2019,Male,35-44,Associate's degree,Alaska,5241
2019,Male,35-44,Bachelor's degree,Alaska,9625
2019,Male,35-44,Graduate or professional degree,Alaska,4871
2019,Male,45-64,Less than 9th grade,Alaska,2511
2019,Male,45-64,"9th to 12th grade, no diploma",Alaska,3701
2019,Male,45-64,High school graduate (includes equivalency),Alaska,31738
2019,Male,45-64,"Some college, no degree",Alaska,24099
2019,Male,45-64,Associate's degree,Alaska,7848
2019,Male,45-64,Bachelor's degree,Alaska,14065
2019,Male,45-64,Graduate or professional degree,Alaska,10375
2019,Male,65 and older,Less than 9th grade,Alaska,1894
2019,Male,65 and older,"9th to 12th grade, no diploma",Alaska,1579
2019,Male,65 and older,High school graduate (includes equivalency),Alaska,12595
2019,Male,65 and older,"Some college, no degree",Alaska,11027
2019,Male,65 and older,Associate's degree,Alaska,2904
2019,Male,65 and older,Bachelor's degree,Alaska,7890
2019,Male,65 and older,Graduate or professional degree,Alaska,6904
2019,Female,18-24,Less than 9th grade,Alaska,183
2019,Female,18-24,"9th to 12th grade, no diploma",Alaska,2618
2019,Female,18-24,High school graduate (includes equivalency),Alaska,11455
2019,Female,18-24,"Some college, no degree",Alaska,11586
2019,Female,18-24,Associate's degree,Alaska,909
2019,Female,18-24,Bachelor's degree,Alaska,2256
2019,Female,18-24,Graduate or professional degree,Alaska,141
2019,Female,25-34,Less than 9th grade,Alaska,961
2019,Female,25-34,"9th to 12th grade, no diploma",Alaska,3645
2019,Female,25-34,High school graduate (includes equivalency),Alaska,14177
2019,Female,25-34,"Some college, no degree",Alaska,14131
2019,Female,25-34,Associate's degree,Alaska,4293
2019,Female,25-34,Bachelor's degree,Alaska,12945
2019,Female,25-34,Graduate or professional degree,Alaska,5543
2019,Female,35-44,Less than 9th grade,Alaska,519
2019,Female,35-44,"9th to 12th grade, no diploma",Alaska,1565
2019,Female,35-44,High school graduate (includes equivalency),Alaska,9279
2019,Female,35-44,"Some college, no degree",Alaska,10665
2019,Female,35-44,Associate's degree,Alaska,5683
2019,Female,35-44,Bachelor's degree,Alaska,10373
2019,Female,35-44,Graduate or professional degree,Alaska,7698
2019,Female,45-64,Less than 9th grade,Alaska,1315
2019,Female,45-64,"9th to 12th grade, no diploma",Alaska,3241
2019,Female,45-64,High school graduate (includes equivalency),Alaska,22710
2019,Female,45-64,"Some college, no degree",Alaska,21886
2019,Female,45-64,Associate's degree,Alaska,8257
2019,Female,45-64,Bachelor's degree,Alaska,18650
2019,Female,45-64,Graduate or professional degree,Alaska,12061
2019,Female,65 and older,Less than 9th grade,Alaska,1784
2019,Female,65 and older,"9th to 12th grade, no diploma",Alaska,1573
2019,Female,65 and older,High school graduate (includes equivalency),Alaska,14889
2019,Female,65 and older,"Some college, no degree",Alaska,11318
2019,Female,65 and older,Associate's degree,Alaska,3164
2019,Female,65 and older,Bachelor's degree,Alaska,7135
2019,Female,65 and older,Graduate or professional degree,Alaska,5932
