"Year","Category","State","Value"
"2018","Total_Married-couple-families_200000_or_more","Alabama",70338.16
"2018","Married-couple-families_median_income_(dollars)","Alabama",78805
"2018","Married-couple-families_mean_income_(dollars)","Alabama",98221
"2018","Total_Nonfamily_households","Alabama",640390
"2018","Percent_Nonfamily_households_Less_10000","Alabama",17.8
"2018","Total_Nonfamily_households_Less_10000","Alabama",113989.42
"2018","Percent_Nonfamily_households_10000_14999","Alabama",12.2
"2018","Total_Nonfamily_households_10000_14999","Alabama",78127.58
"2018","Percent_Nonfamily_households_15000_24999","Alabama",18.3
"2018","Total_Nonfamily_households_15000_24999","Alabama",117191.37
"2018","Percent_Nonfamily_households_25000_34999","Alabama",12.4
"2018","Total_Nonfamily_households_25000_34999","Alabama",79408.36
"2018","Percent_Nonfamily_households_35000_49999","Alabama",13.2
"2018","Total_Nonfamily_households_35000_49999","Alabama",84531.48
"2018","Percent_Nonfamily_households_50000_74999","Alabama",13.4
"2018","Total_Nonfamily_households_50000_74999","Alabama",85812.26
"2018","Percent_Nonfamily_households_75000_99999","Alabama",6
"2018","Total_Nonfamily_households_75000_99999","Alabama",38423.4
"2018","Percent_Nonfamily_households_100000_149999","Alabama",4.4
"2018","Total_Nonfamily_households_100000_149999","Alabama",28177.16
"2018","Percent_Nonfamily_households_150000_199999","Alabama",1.1
"2018","Total_Nonfamily_households_150000_199999","Alabama",7044.29
"2018","Percent_Nonfamily_households_200000_or_more","Alabama",1.2
"2018","Total_Nonfamily_households_200000_or_more","Alabama",7684.68
"2018","Nonfamily_households_median_income_(dollars)","Alabama",26208
"2018","Nonfamily_households_mean_income_(dollars)","Alabama",40905
"2019","Total_Households","Alabama",1897576
"2019","Percent_Households_Less_10000","Alabama",8.1
"2019","Total_Households_Less_10000","Alabama",153703.656
"2019","Percent_Households_10000_14999","Alabama",5.5
"2019","Total_Households_10000_14999","Alabama",104366.68
"2019","Percent_Households_15000_24999","Alabama",10.9
"2019","Total_Households_15000_24999","Alabama",206835.784
"2019","Percent_Households_25000_34999","Alabama",10.3
"2019","Total_Households_25000_34999","Alabama",195450.328
"2019","Percent_Households_35000_49999","Alabama",13.4
"2019","Total_Households_35000_49999","Alabama",254275.184
"2019","Percent_Households_50000_74999","Alabama",17.8
"2019","Total_Households_50000_74999","Alabama",337768.528
"2019","Percent_Households_75000_99999","Alabama",11.2
"2019","Total_Households_75000_99999","Alabama",212528.512
"2019","Percent_Households_100000_149999","Alabama",13.4
"2019","Total_Households_100000_149999","Alabama",254275.184
"2019","Percent_Households_150000_199999","Alabama",5
"2019","Total_Households_150000_199999","Alabama",94878.8
"2019","Percent_Households_200000_or_more","Alabama",4.3
"2019","Total_Households_200000_or_more","Alabama",81595.768
"2019","Households_median_income_(dollars)","Alabama",51734
"2019","Household_mean_income_(dollars)","Alabama",71478
"2019","Total_Families","Alabama",1237883
"2019","Percent_Families_Less_10000","Alabama",4.6
"2019","Total_Families_Less_10000","Alabama",56942.618
"2019","Percent_Families_10000_14999","Alabama",2.6
"2019","Total_Families_10000_14999","Alabama",32184.958
"2019","Percent_Families_15000_24999","Alabama",7.6
"2019","Total_Families_15000_24999","Alabama",94079.108
"2019","Percent_Families_25000_34999","Alabama",9.4
"2019","Total_Families_25000_34999","Alabama",116361.002
"2019","Percent_Families_35000_49999","Alabama",12.8
"2019","Total_Families_35000_49999","Alabama",158449.024
"2019","Percent_Families_50000_74999","Alabama",19.2
"2019","Total_Families_50000_74999","Alabama",237673.536
"2019","Percent_Families_75000_99999","Alabama",13.8
"2019","Total_Families_75000_99999","Alabama",170827.854
"2019","Percent_Families_100000_149999","Alabama",17.3
"2019","Total_Families_100000_149999","Alabama",214153.759
"2019","Percent_Families_150000_199999","Alabama",6.8
"2019","Total_Families_150000_199999","Alabama",84176.044
"2019","Percent_Families_200000_or_more","Alabama",6
"2019","Total_Families_200000_or_more","Alabama",74272.98
"2019","Families_median_income_(dollars)","Alabama",66171
"2019","Families_mean_income_(dollars)","Alabama",85630
"2019","Total_Married-couple-families","Alabama",892050
"2019","Percent_Married-couple-families_Less_10000","Alabama",1.5
"2019","Total_Married-couple-families_Less_10000","Alabama",13380.75
"2019","Percent_Married-couple-families_10000_14999","Alabama",1.4
"2019","Total_Married-couple-families_10000_14999","Alabama",12488.7
"2019","Percent_Married-couple-families_15000_24999","Alabama",4.6
"2019","Total_Married-couple-families_15000_24999","Alabama",41034.3
"2019","Percent_Married-couple-families_25000_34999","Alabama",6.7
"2019","Total_Married-couple-families_25000_34999","Alabama",59767.35
"2019","Percent_Married-couple-families_35000_49999","Alabama",11.4
"2019","Total_Married-couple-families_35000_49999","Alabama",101693.7
"2019","Percent_Married-couple-families_50000_74999","Alabama",19.9
"2019","Total_Married-couple-families_50000_74999","Alabama",177517.95
"2019","Percent_Married-couple-families_75000_99999","Alabama",16.2
"2019","Total_Married-couple-families_75000_99999","Alabama",144512.1
"2019","Percent_Married-couple-families_100000_149999","Alabama",21.6
"2019","Total_Married-couple-families_100000_149999","Alabama",192682.8
"2019","Percent_Married-couple-families_150000_199999","Alabama",8.8
"2019","Total_Married-couple-families_150000_199999","Alabama",78500.4
"2019","Percent_Married-couple-families_200000_or_more","Alabama",7.9
"2019","Total_Married-couple-families_200000_or_more","Alabama",70471.95
"2019","Married-couple-families_median_income_(dollars)","Alabama",81393
"2019","Married-couple-families_mean_income_(dollars)","Alabama",101086
"2019","Total_Nonfamily_households","Alabama",659693
"2019","Percent_Nonfamily_households_Less_10000","Alabama",15.6
"2019","Total_Nonfamily_households_Less_10000","Alabama",102912.108
"2019","Percent_Nonfamily_households_10000_14999","Alabama",11.1
"2019","Total_Nonfamily_households_10000_14999","Alabama",73225.923
"2019","Percent_Nonfamily_households_15000_24999","Alabama",18
"2019","Total_Nonfamily_households_15000_24999","Alabama",118744.74
"2019","Percent_Nonfamily_households_25000_34999","Alabama",12.5
"2019","Total_Nonfamily_households_25000_34999","Alabama",82461.625
"2019","Percent_Nonfamily_households_35000_49999","Alabama",14.5
"2019","Total_Nonfamily_households_35000_49999","Alabama",95655.485
"2019","Percent_Nonfamily_households_50000_74999","Alabama",14.6
"2019","Total_Nonfamily_households_50000_74999","Alabama",96315.178
"2019","Percent_Nonfamily_households_75000_99999","Alabama",5.6
"2019","Total_Nonfamily_households_75000_99999","Alabama",36942.808
"2019","Percent_Nonfamily_households_100000_149999","Alabama",5.5
"2019","Total_Nonfamily_households_100000_149999","Alabama",36283.115
"2019","Percent_Nonfamily_households_150000_199999","Alabama",1.4
"2019","Total_Nonfamily_households_150000_199999","Alabama",9235.702
"2019","Percent_Nonfamily_households_200000_or_more","Alabama",1.1
"2019","Total_Nonfamily_households_200000_or_more","Alabama",7256.623
"2019","Nonfamily_households_median_income_(dollars)","Alabama",29458
"2019","Nonfamily_households_mean_income_(dollars)","Alabama",42510
"2021","Total_Households","Alabama",1967559
"2021","Percent_Households_Less_10000","Alabama",7.7
"2021","Total_Households_Less_10000","Alabama",151502.043
"2021","Percent_Households_10000_14999","Alabama",5.6
"2021","Total_Households_10000_14999","Alabama",110183.304
"2021","Percent_Households_15000_24999","Alabama",10.4
"2021","Total_Households_15000_24999","Alabama",204626.136
"2021","Percent_Households_25000_34999","Alabama",9.4
"2021","Total_Households_25000_34999","Alabama",184950.546
"2021","Percent_Households_35000_49999","Alabama",13.3
"2021","Total_Households_35000_49999","Alabama",261685.347
"2021","Percent_Households_50000_74999","Alabama",17.3
"2021","Total_Households_50000_74999","Alabama",340387.707
"2021","Percent_Households_75000_99999","Alabama",12.1
"2021","Total_Households_75000_99999","Alabama",238074.639
"2021","Percent_Households_100000_149999","Alabama",13.2
"2021","Total_Households_100000_149999","Alabama",259717.788
"2021","Percent_Households_150000_199999","Alabama",5.8
"2021","Total_Households_150000_199999","Alabama",114118.422
"2021","Percent_Households_200000_or_more","Alabama",5.2
"2021","Total_Households_200000_or_more","Alabama",102313.068
"2021","Households_median_income_(dollars)","Alabama",53913
"2021","Household_mean_income_(dollars)","Alabama",75923
"2021","Total_Families","Alabama",1271383
"2021","Percent_Families_Less_10000","Alabama",4.6
"2021","Total_Families_Less_10000","Alabama",58483.618
"2021","Percent_Families_10000_14999","Alabama",2.9
"2021","Total_Families_10000_14999","Alabama",36870.107
"2021","Percent_Families_15000_24999","Alabama",6.9
"2021","Total_Families_15000_24999","Alabama",87725.427
"2021","Percent_Families_25000_34999","Alabama",7.9
"2021","Total_Families_25000_34999","Alabama",100439.257
"2021","Percent_Families_35000_49999","Alabama",12.1
"2021","Total_Families_35000_49999","Alabama",153837.343
"2021","Percent_Families_50000_74999","Alabama",18.3
"2021","Total_Families_50000_74999","Alabama",232663.089
"2021","Percent_Families_75000_99999","Alabama",14.9
"2021","Total_Families_75000_99999","Alabama",189436.067
"2021","Percent_Families_100000_149999","Alabama",17.3
"2021","Total_Families_100000_149999","Alabama",219949.259
"2021","Percent_Families_150000_199999","Alabama",8
"2021","Total_Families_150000_199999","Alabama",101710.64
"2021","Percent_Families_200000_or_more","Alabama",7.2
"2021","Total_Families_200000_or_more","Alabama",91539.576
"2021","Families_median_income_(dollars)","Alabama",71006
"2021","Families_mean_income_(dollars)","Alabama",92591
"2021","Total_Married-couple-families","Alabama",904392
"2021","Percent_Married-couple-families_Less_10000","Alabama",1.7
"2021","Total_Married-couple-families_Less_10000","Alabama",15374.664
"2021","Percent_Married-couple-families_10000_14999","Alabama",1.3
"2021","Total_Married-couple-families_10000_14999","Alabama",11757.096
"2021","Percent_Married-couple-families_15000_24999","Alabama",3.8
"2021","Total_Married-couple-families_15000_24999","Alabama",34366.896
"2021","Percent_Married-couple-families_25000_34999","Alabama",5.8
"2021","Total_Married-couple-families_25000_34999","Alabama",52454.736
"2021","Percent_Married-couple-families_35000_49999","Alabama",10.5
"2021","Total_Married-couple-families_35000_49999","Alabama",94961.16
"2021","Percent_Married-couple-families_50000_74999","Alabama",18.2
"2021","Total_Married-couple-families_50000_74999","Alabama",164599.344
"2021","Percent_Married-couple-families_75000_99999","Alabama",16.9
"2021","Total_Married-couple-families_75000_99999","Alabama",152842.248
"2021","Percent_Married-couple-families_100000_149999","Alabama",21.7
"2021","Total_Married-couple-families_100000_149999","Alabama",196253.064
"2021","Percent_Married-couple-families_150000_199999","Alabama",10.4
"2021","Total_Married-couple-families_150000_199999","Alabama",94056.768
"2021","Percent_Married-couple-families_200000_or_more","Alabama",9.6
"2021","Total_Married-couple-families_200000_or_more","Alabama",86821.632
"2021","Married-couple-families_median_income_(dollars)","Alabama",87316
"2021","Married-couple-families_mean_income_(dollars)","Alabama",109580
"2021","Total_Nonfamily_households","Alabama",696176
"2021","Percent_Nonfamily_households_Less_10000","Alabama",14.5
"2021","Total_Nonfamily_households_Less_10000","Alabama",100945.52
"2021","Percent_Nonfamily_households_10000_14999","Alabama",10.8
"2021","Total_Nonfamily_households_10000_14999","Alabama",75187.008
"2021","Percent_Nonfamily_households_15000_24999","Alabama",17.5
"2021","Total_Nonfamily_households_15000_24999","Alabama",121830.8
"2021","Percent_Nonfamily_households_25000_34999","Alabama",12.1
"2021","Total_Nonfamily_households_25000_34999","Alabama",84237.296
"2021","Percent_Nonfamily_households_35000_49999","Alabama",15.5
"2021","Total_Nonfamily_households_35000_49999","Alabama",107907.28
"2021","Percent_Nonfamily_households_50000_74999","Alabama",15.4
"2021","Total_Nonfamily_households_50000_74999","Alabama",107211.104
"2021","Percent_Nonfamily_households_75000_99999","Alabama",6.6
"2021","Total_Nonfamily_households_75000_99999","Alabama",45947.616
"2021","Percent_Nonfamily_households_100000_149999","Alabama",5.1
"2021","Total_Nonfamily_households_100000_149999","Alabama",35504.976
"2021","Percent_Nonfamily_households_150000_199999","Alabama",1.4
"2021","Total_Nonfamily_households_150000_199999","Alabama",9746.464
"2021","Percent_Nonfamily_households_200000_or_more","Alabama",1.2
"2021","Total_Nonfamily_households_200000_or_more","Alabama",8354.112
"2021","Nonfamily_households_median_income_(dollars)","Alabama",30575
"2021","Nonfamily_households_mean_income_(dollars)","Alabama",42781
"2022","Total_Households","Alabama",2016448
"2022","Percent_Households_Less_10000","Alabama",7.6
"2022","Total_Households_Less_10000","Alabama",153250.048
"2022","Percent_Households_10000_14999","Alabama",5.2
"2022","Total_Households_10000_14999","Alabama",104855.296
"2022","Percent_Households_15000_24999","Alabama",9.3
"2022","Total_Households_15000_24999","Alabama",187529.664
"2022","Percent_Households_25000_34999","Alabama",8.6
"2022","Total_Households_25000_34999","Alabama",173414.528
"2022","Percent_Households_35000_49999","Alabama",12
"2022","Total_Households_35000_49999","Alabama",241973.76
"2022","Percent_Households_50000_74999","Alabama",16.7
"2022","Total_Households_50000_74999","Alabama",336746.816
"2022","Percent_Households_75000_99999","Alabama",12.6
"2022","Total_Households_75000_99999","Alabama",254072.448
"2022","Percent_Households_100000_149999","Alabama",14.9
"2022","Total_Households_100000_149999","Alabama",300450.752
"2022","Percent_Households_150000_199999","Alabama",6.4
"2022","Total_Households_150000_199999","Alabama",129052.672
"2022","Percent_Households_200000_or_more","Alabama",6.7
"2022","Total_Households_200000_or_more","Alabama",135102.016
"2022","Households_median_income_(dollars)","Alabama",59674
"2022","Household_mean_income_(dollars)","Alabama",82956
"2022","Total_Families","Alabama",1308988
"2022","Percent_Families_Less_10000","Alabama",4.4
"2022","Total_Families_Less_10000","Alabama",57595.472
"2022","Percent_Families_10000_14999","Alabama",3
"2022","Total_Families_10000_14999","Alabama",39269.64
"2022","Percent_Families_15000_24999","Alabama",6
"2022","Total_Families_15000_24999","Alabama",78539.28
"2022","Percent_Families_25000_34999","Alabama",6.9
"2022","Total_Families_25000_34999","Alabama",90320.172
"2022","Percent_Families_35000_49999","Alabama",10.7
"2022","Total_Families_35000_49999","Alabama",140061.716
"2022","Percent_Families_50000_74999","Alabama",17.3
"2022","Total_Families_50000_74999","Alabama",226454.924
"2022","Percent_Families_75000_99999","Alabama",14.4
"2022","Total_Families_75000_99999","Alabama",188494.272
"2022","Percent_Families_100000_149999","Alabama",19.4
"2022","Total_Families_100000_149999","Alabama",253943.672
"2022","Percent_Families_150000_199999","Alabama",8.7
"2022","Total_Families_150000_199999","Alabama",113881.956
"2022","Percent_Families_200000_or_more","Alabama",9.2
"2022","Total_Families_200000_or_more","Alabama",120426.896
"2022","Families_median_income_(dollars)","Alabama",77668
"2022","Families_mean_income_(dollars)","Alabama",100785
"2022","Total_Married-couple-families","Alabama",941596
"2022","Percent_Married-couple-families_Less_10000","Alabama",1.7
"2022","Total_Married-couple-families_Less_10000","Alabama",16007.132
"2022","Percent_Married-couple-families_10000_14999","Alabama",1.1
"2022","Total_Married-couple-families_10000_14999","Alabama",10357.556
"2022","Percent_Married-couple-families_15000_24999","Alabama",3.4
"2022","Total_Married-couple-families_15000_24999","Alabama",32014.264
"2022","Percent_Married-couple-families_25000_34999","Alabama",4.9
"2022","Total_Married-couple-families_25000_34999","Alabama",46138.204
"2022","Percent_Married-couple-families_35000_49999","Alabama",8.4
"2022","Total_Married-couple-families_35000_49999","Alabama",79094.064
"2022","Percent_Married-couple-families_50000_74999","Alabama",17.2
"2022","Total_Married-couple-families_50000_74999","Alabama",161954.512
"2022","Percent_Married-couple-families_75000_99999","Alabama",16.5
"2022","Total_Married-couple-families_75000_99999","Alabama",155363.34
"2022","Percent_Married-couple-families_100000_149999","Alabama",23.6
"2022","Total_Married-couple-families_100000_149999","Alabama",222216.656
"2022","Percent_Married-couple-families_150000_199999","Alabama",11.2
"2022","Total_Married-couple-families_150000_199999","Alabama",105458.752
"2022","Percent_Married-couple-families_200000_or_more","Alabama",12.1
"2022","Total_Married-couple-families_200000_or_more","Alabama",113933.116
"2022","Married-couple-families_median_income_(dollars)","Alabama",94370
"2022","Married-couple-families_mean_income_(dollars)","Alabama",118799
"2022","Total_Nonfamily_households","Alabama",707460
"2022","Percent_Nonfamily_households_Less_10000","Alabama",14.3
"2022","Total_Nonfamily_households_Less_10000","Alabama",101166.78
"2022","Percent_Nonfamily_households_10000_14999","Alabama",9.8
"2022","Total_Nonfamily_households_10000_14999","Alabama",69331.08
"2022","Percent_Nonfamily_households_15000_24999","Alabama",15.9
"2022","Total_Nonfamily_households_15000_24999","Alabama",112486.14
"2022","Percent_Nonfamily_households_25000_34999","Alabama",12.5
"2022","Total_Nonfamily_households_25000_34999","Alabama",88432.5
"2022","Percent_Nonfamily_households_35000_49999","Alabama",14.5
"2022","Total_Nonfamily_households_35000_49999","Alabama",102581.7
"2022","Percent_Nonfamily_households_50000_74999","Alabama",15.7
"2022","Total_Nonfamily_households_50000_74999","Alabama",111071.22
"2022","Percent_Nonfamily_households_75000_99999","Alabama",8.1
"2022","Total_Nonfamily_households_75000_99999","Alabama",57304.26
"2022","Percent_Nonfamily_households_100000_149999","Alabama",5.7
"2022","Total_Nonfamily_households_100000_149999","Alabama",40325.22
"2022","Percent_Nonfamily_households_150000_199999","Alabama",1.9
"2022","Total_Nonfamily_households_150000_199999","Alabama",13441.74
"2022","Percent_Nonfamily_households_200000_or_more","Alabama",1.6
"2022","Total_Nonfamily_households_200000_or_more","Alabama",11319.36
"2022","Nonfamily_households_median_income_(dollars)","Alabama",32330
"2022","Nonfamily_households_mean_income_(dollars)","Alabama",47145
"2023","Total_Households","Alabama",2051545
"2023","Percent_Households_Less_10000","Alabama",6.4
"2023","Total_Households_Less_10000","Alabama",131298.88
"2023","Percent_Households_10000_14999","Alabama",4.8
"2023","Total_Households_10000_14999","Alabama",98474.16
"2023","Percent_Households_15000_24999","Alabama",9
"2023","Total_Households_15000_24999","Alabama",184639.05
"2023","Percent_Households_25000_34999","Alabama",8.9
"2023","Total_Households_25000_34999","Alabama",182587.505
"2023","Percent_Households_35000_49999","Alabama",11.4
"2023","Total_Households_35000_49999","Alabama",233876.13
"2023","Percent_Households_50000_74999","Alabama",17.3
"2023","Total_Households_50000_74999","Alabama",354917.285
"2023","Percent_Households_75000_99999","Alabama",13.2
"2023","Total_Households_75000_99999","Alabama",270803.94
"2023","Percent_Households_100000_149999","Alabama",15.6
"2023","Total_Households_100000_149999","Alabama",320041.02
"2023","Percent_Households_150000_199999","Alabama",6.7
"2023","Total_Households_150000_199999","Alabama",137453.515
"2023","Percent_Households_200000_or_more","Alabama",6.7
"2023","Total_Households_200000_or_more","Alabama",137453.515
"2023","Households_median_income_(dollars)","Alabama",62212
"2023","Household_mean_income_(dollars)","Alabama",85530
"2023","Total_Families","Alabama",1328854
"2023","Percent_Families_Less_10000","Alabama",3.8
"2023","Total_Families_Less_10000","Alabama",50496.452
"2023","Percent_Families_10000_14999","Alabama",2.4
"2023","Total_Families_10000_14999","Alabama",31892.496
"2023","Percent_Families_15000_24999","Alabama",5.8
"2023","Total_Families_15000_24999","Alabama",77073.532
"2023","Percent_Families_25000_34999","Alabama",6.5
"2023","Total_Families_25000_34999","Alabama",86375.51
"2023","Percent_Families_35000_49999","Alabama",10.6
"2023","Total_Families_35000_49999","Alabama",140858.524
"2023","Percent_Families_50000_74999","Alabama",17.5
"2023","Total_Families_50000_74999","Alabama",232549.45
"2023","Percent_Families_75000_99999","Alabama",15.2
"2023","Total_Families_75000_99999","Alabama",201985.808
"2023","Percent_Families_100000_149999","Alabama",19.7
"2023","Total_Families_100000_149999","Alabama",261784.238
"2023","Percent_Families_150000_199999","Alabama",8.9
"2023","Total_Families_150000_199999","Alabama",118268.006
"2023","Percent_Families_200000_or_more","Alabama",9.5
"2023","Total_Families_200000_or_more","Alabama",126241.13
"2023","Families_median_income_(dollars)","Alabama",79940
"2023","Families_mean_income_(dollars)","Alabama",103839
"2023","Total_Married-couple-families","Alabama",949532
"2023","Percent_Married-couple-families_Less_10000","Alabama",1.4
"2023","Total_Married-couple-families_Less_10000","Alabama",13293.448
"2023","Percent_Married-couple-families_10000_14999","Alabama",0.8
"2023","Total_Married-couple-families_10000_14999","Alabama",7596.256
"2023","Percent_Married-couple-families_15000_24999","Alabama",2.9
"2023","Total_Married-couple-families_15000_24999","Alabama",27536.428
"2023","Percent_Married-couple-families_25000_34999","Alabama",4.3
"2023","Total_Married-couple-families_25000_34999","Alabama",40829.876
"2023","Percent_Married-couple-families_35000_49999","Alabama",8.6
"2023","Total_Married-couple-families_35000_49999","Alabama",81659.752
"2023","Percent_Married-couple-families_50000_74999","Alabama",16.7
"2023","Total_Married-couple-families_50000_74999","Alabama",158571.844
"2023","Percent_Married-couple-families_75000_99999","Alabama",16.9
"2023","Total_Married-couple-families_75000_99999","Alabama",160470.908
"2023","Percent_Married-couple-families_100000_149999","Alabama",24.2
"2023","Total_Married-couple-families_100000_149999","Alabama",229786.744
"2023","Percent_Married-couple-families_150000_199999","Alabama",11.5
"2023","Total_Married-couple-families_150000_199999","Alabama",109196.18
"2023","Percent_Married-couple-families_200000_or_more","Alabama",12.8
"2023","Total_Married-couple-families_200000_or_more","Alabama",121540.096
"2023","Married-couple-families_median_income_(dollars)","Alabama",97749
"2023","Married-couple-families_mean_income_(dollars)","Alabama",123679
"2023","Total_Nonfamily_households","Alabama",722691
"2023","Percent_Nonfamily_households_Less_10000","Alabama",12
"2023","Total_Nonfamily_households_Less_10000","Alabama",86722.92
"2023","Percent_Nonfamily_households_10000_14999","Alabama",9.8
"2023","Total_Nonfamily_households_10000_14999","Alabama",70823.718
"2023","Percent_Nonfamily_households_15000_24999","Alabama",15.5
"2023","Total_Nonfamily_households_15000_24999","Alabama",112017.105
"2023","Percent_Nonfamily_households_25000_34999","Alabama",13.5
"2023","Total_Nonfamily_households_25000_34999","Alabama",97563.285
"2023","Percent_Nonfamily_households_35000_49999","Alabama",13.6
"2023","Total_Nonfamily_households_35000_49999","Alabama",98285.976
"2023","Percent_Nonfamily_households_50000_74999","Alabama",16.5
"2023","Total_Nonfamily_households_50000_74999","Alabama",119244.015
"2023","Percent_Nonfamily_households_75000_99999","Alabama",8.7
"2023","Total_Nonfamily_households_75000_99999","Alabama",62874.117
"2023","Percent_Nonfamily_households_100000_149999","Alabama",7
"2023","Total_Nonfamily_households_100000_149999","Alabama",50588.37
"2023","Percent_Nonfamily_households_150000_199999","Alabama",2
"2023","Total_Nonfamily_households_150000_199999","Alabama",14453.82
"2023","Percent_Nonfamily_households_200000_or_more","Alabama",1.3
"2023","Total_Nonfamily_households_200000_or_more","Alabama",9394.983
"2023","Nonfamily_households_median_income_(dollars)","Alabama",34218
"2023","Nonfamily_households_mean_income_(dollars)","Alabama",48701
"2018","Total_Households","Alaska",254551
"2018","Percent_Households_Less_10000","Alaska",4.5
"2018","Total_Households_Less_10000","Alaska",11454.795
"2018","Percent_Households_10000_14999","Alaska",3.3
"2018","Total_Households_10000_14999","Alaska",8400.183
"2018","Percent_Households_15000_24999","Alaska",6.4
"2018","Total_Households_15000_24999","Alaska",16291.264
"2018","Percent_Households_25000_34999","Alaska",6.6
"2018","Total_Households_25000_34999","Alaska",16800.366
"2018","Percent_Households_35000_49999","Alaska",10.3
"2018","Total_Households_35000_49999","Alaska",26218.753
"2018","Percent_Households_50000_74999","Alaska",19.3
"2018","Total_Households_50000_74999","Alaska",49128.343
"2018","Percent_Households_75000_99999","Alaska",13.4
"2018","Total_Households_75000_99999","Alaska",34109.834
"2018","Percent_Households_100000_149999","Alaska",19
"2018","Total_Households_100000_149999","Alaska",48364.69
"2018","Percent_Households_150000_199999","Alaska",8.3
"2018","Total_Households_150000_199999","Alaska",21127.733
"2018","Percent_Households_200000_or_more","Alaska",8.8
"2018","Total_Households_200000_or_more","Alaska",22400.488
"2018","Households_median_income_(dollars)","Alaska",74346
"2018","Household_mean_income_(dollars)","Alaska",96080
"2018","Total_Families","Alaska",167527
"2018","Percent_Families_Less_10000","Alaska",2.9
"2018","Total_Families_Less_10000","Alaska",4858.283
"2018","Percent_Families_10000_14999","Alaska",2
"2018","Total_Families_10000_14999","Alaska",3350.54
"2018","Percent_Families_15000_24999","Alaska",3.9
"2018","Total_Families_15000_24999","Alaska",6533.553
"2018","Percent_Families_25000_34999","Alaska",5.7
"2018","Total_Families_25000_34999","Alaska",9549.039
"2018","Percent_Families_35000_49999","Alaska",8.8
"2018","Total_Families_35000_49999","Alaska",14742.376
"2018","Percent_Families_50000_74999","Alaska",18.4
"2018","Total_Families_50000_74999","Alaska",30824.968
